Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NNVC,NanoViricides Inc. Common Stock,$1.40,0.01,0.719%,22500800.00,United States,,67057,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc.,$3.20,-0.07,-2.141%,0.00,United States,2003,257451,Finance,Finance/Investors Services
NRXS,Neuraxis Inc. Common Stock,$2.63,0.09,3.543%,25928423.00,,2023,70977,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NSRX,Nasus Pharma Ltd. Ordinary Shares,$8.04,-0.06,-0.741%,72440392.00,,2025,19973,Health Care,Biotechnology: Pharmaceutical Preparations
NTIP,Network-1 Technologies Inc. Common Stock,$1.52,0.03,2.013%,34645118.00,United States,,356654,Miscellaneous,Multi-Sector Companies
OBE,Obsidian Energy Ltd. Common Shares,$6.20,0.05,0.813%,437217161.00,Canada,2022,293636,Energy,Oil & Gas Production
OGEN,Oragenics Inc. Common Stock,$1.05,0.02,1.942%,4333532.00,United States,,147396,Health Care,Biotechnology: Pharmaceutical Preparations
OPHC,OptimumBank Holdings Inc. Common Stock,$4.24,-0.01,-0.235%,49824588.00,United States,,7972,Finance,Major Banks
OPP^C,RiverNorth/DoubleLine Strategic Opportunity Fund Inc. 6.00% Series C Term Preferred Stock (Liquidation Preference $10.00 per share),$10.1501,0.0001,0.001%,,United States,,336,,
OPTT,Ocean Power Technologies Inc. Common Stock,$0.5168,-0.0022,-0.424%,91754106.00,United States,2007,3054917,Utilities,Electric Utilities: Central
ORLA,Orla Mining Ltd. Common Shares,$11.35,0.29,2.622%,3697952818.00,,2020,1802835,Basic Materials,Precious Metals
OSTX,OS Therapies Incorporated Common Stock,$2.22,-0.17,-7.113%,70800091.00,,2024,858774,Health Care,Biotechnology: Pharmaceutical Preparations
OZ,Belpointe PREP LLC Class A Units,$62.75,-0.21,-0.334%,243891868.00,,,652,Real Estate,Real Estate Investment Trusts
PAPL,Pineapple Financial Inc. Common Stock,$3.74,-0.28,-6.965%,3757208.00,,,637623,Finance,Finance: Consumer Services
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$22.30,-0.07,-0.313%,,United States,,25383,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$19.60,0.19,0.979%,,United States,,5165,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$18.0261,0.00,0.00%,,United States,,5,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$17.57,-0.13,-0.734%,,United States,,2748,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$17.70,0.00,0.00%,,United States,,1164,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$16.7311,0.00,0.00%,,United States,,28,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$16.24,0.24,1.50%,,United States,,122,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$15.97,0.00,0.00%,,United States,,56,,
PED,Pedevco Corp. Common Stock,$0.6158,0.0078,1.283%,56640885.00,United States,,65806,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$0.559,0.0193,3.576%,14832443.00,,2019,415245,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLAG,Planet Green Holdings Corp. Common Stock,$1.66,-0.0925,-5.278%,12089305.00,China,,4359,Consumer Staples,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.71,0.11,6.875%,184646735.00,Canada,,1988901,Basic Materials,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.64,0.09,5.806%,130760669.00,Israel,,708485,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PMI,Picard Medical Inc. Common Stock,$5.14,0.55,11.983%,371746105.00,,2025,4906318,Health Care,Medical/Dental Instruments
PMNT,Perfect Moment Ltd. Common Stock,$0.4489,-0.032,-6.654%,14094033.00,United Kingdom,2024,209612,Consumer Discretionary,Apparel
PRK,Park National Corporation Common Stock,$170.87,-0.90,-0.524%,2746111062.00,United States,1994,45062,Finance,Major Banks
PTHS,Pelthos Therapeutics Inc. Common Stock,$22.46,-1.1905,-5.034%,68326532.00,,2024,4722,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PW,Power REIT (MD) Common Stock,$1.04,-0.11,-9.565%,3525247.00,United States,1998,104256,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$3.99,0.00,0.00%,,United States,,800,,
PZG,Paramount Gold Nevada Corp. Common Stock,$1.05,0.03,2.941%,75021608.00,United States,2015,2852431,Basic Materials,Metal Mining
RCG,RENN Fund Inc Common Stock,$2.63,-0.08,-2.952%,0.00,United States,,11037,Finance,Investment Managers
REI,Ring Energy Inc. Common Stock,$1.06,-0.03,-2.752%,218937456.00,United States,,2065094,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$30.06,0.80,2.734%,662589855.00,United States,1999,122558,Energy,Oil & Gas Production
RLGT,Radiant Logistics Inc. Common Stock,$6.38,-0.09,-1.391%,300773476.00,United States,,80370,Industrials,Integrated Freight & Logistics
ROLR,High Roller Technologies Inc. Common Stock,$2.79,0.19,7.308%,23665265.00,,2024,16671,Consumer Discretionary,Services-Misc. Amusement & Recreation
RVP,Retractable Technologies Inc. Common Stock,$0.796,-0.042,-5.012%,23829979.00,United States,2001,43741,Health Care,Medical/Dental Instruments
RYDE,Ryde Group Ltd. Class A Ordinary Shares,$0.2871,-0.0041,-1.408%,8409109.00,,2024,30687,Real Estate,Real Estate
SACH,Sachem Capital Corp. Common Shares,$1.23,-0.01,-0.806%,58231014.00,United States,2017,168492,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$17.475,0.17,0.982%,,United States,,1160,,
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$1.71,0.0353,2.108%,3665351.00,,2021,31097,Consumer Staples,Beverages (Production/Distribution)
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.29,0.01,0.04%,1197286464.00,United States,2020,2784,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$23.7301,0.0101,0.043%,1123437228.00,United States,,7319,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$22.94,-0.07,-0.304%,1086032087.00,United States,2022,5401,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$22.82,0.00,0.00%,1080351012.00,United States,2022,10656,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$23.52,-0.11,-0.466%,1113490614.00,United States,2022,2907,Real Estate,Real Estate Investment Trusts
SEB,Seaboard Corporation Common Stock,$3950.50,-18.70,-0.471%,3789291947.00,United States,1996,1976,Industrials,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$0.453,-0.0065,-1.415%,369050452.00,United States,,3717901,Industrials,Industrial Machinery/Components
SER,Serina Therapeutics Inc. Common Stock,$5.31,-0.01,-0.188%,54430622.00,,2018,80484,Health Care,Biotechnology: Pharmaceutical Preparations
SGN,Signing Day Sports Inc. Common Stock,$1.56,-0.09,-5.455%,6158538.00,,2023,160023,Technology,EDP Services
SIF,SIFCO Industries Inc. Common Stock,$7.20,0.114,1.609%,44498794.00,United States,1969,20453,Industrials,Aerospace
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$27.96,0.00,0.00%,4296565388.00,Mexico,1998,40,Industrials,Steel/Iron Ore
SLI,Standard Lithium Ltd. Common Shares,$2.86,-0.08,-2.721%,583565022.00,Canada,2021,1914483,Industrials,Major Chemicals
SLND,Southland Holdings Inc. Common Stock,$4.02,-0.07,-1.711%,217534405.00,United States,,17898,Industrials,Military/Government/Technical
SLSR,Solaris Resources Inc. Common Shares,$5.34,-0.10,-1.838%,885156467.00,,2024,18375,,
SOAR,Volato Group Inc. Class A Common Stock,$1.67,-0.01,-0.595%,9370365.00,,2022,403352,Consumer Discretionary,Transportation Services
SRXH,SRX Health Solutions Inc. Common Stock,$0.403,-0.0148,-3.542%,4701831.00,,2021,3334863,Consumer Staples,Beverages (Production/Distribution)
STRW,Strawberry Fields REIT Inc. Common Stock,$12.08,0.42,3.602%,156950548.00,,2023,31740,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$2.71,-0.17,-5.903%,245671714.00,United States,,531953,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$5.06,0.22,4.545%,1106268453.00,Canada,,7992237,Basic Materials,Precious Metals
SYNX,Silynxcom Ltd. Ordinary Shares,$1.66,-0.05,-2.924%,8776390.00,,2024,20643,Consumer Staples,Consumer Electronics/Appliances
TGB,Taseko Mines Ltd. Common Stock,$3.29,0.03,0.92%,1042153932.00,Canada,,3800462,Basic Materials,Precious Metals
TGEN,Tecogen Inc. Common Stock,$7.40,-0.24,-3.141%,219711905.00,,2025,522511,Industrials,Industrial Machinery/Components
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.61,0.21,15.00%,334695612.00,Canada,,1382265,Basic Materials,Metal Mining
TMDE,TMD Energy Limited Ordinary Shares,$0.8625,0.0125,1.471%,20324813.00,,2025,25400,Energy,Oil Refining/Marketing
TMP,Tompkins Financial Corporation Common Stock,$70.24,0.10,0.143%,1013673828.00,United States,1997,65773,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$1.62,-0.07,-4.142%,266071084.00,Canada,,390301,Basic Materials,Precious Metals
TOON,Kartoon Studios Inc. Common Stock,$0.81,0.0185,2.337%,38867417.00,United States,,297968,Consumer Discretionary,Movies/Entertainment
TOPP,Toppoint Holdings Inc. Common Stock,$2.10,0.00,0.00%,36750000.00,,2025,4388,Industrials,Trucking Freight/Courier Services
TOPS,TOP Ships Inc. Common Stock,$5.51,-0.10,-1.783%,25490345.00,Greece,,3486,Consumer Discretionary,Marine Transportation
TOVX,Theriva Biologics Inc. Common Stock,$0.4078,-0.0022,-0.537%,3914045.00,United States,,169758,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$1.14,0.035,3.167%,8575649.00,,2023,60743,Energy,Oil & Gas Production
TRT,Trio-Tech International Common Stock,$5.30,-0.06,-1.119%,22857867.00,United States,1998,353,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.3871,0.0171,4.622%,109504173.00,Canada,,1479553,Basic Materials,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$4.31,-0.24,-5.275%,520317509.00,United States,,4430198,Industrials,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.85,-0.06,-3.141%,62959816.00,United States,,1383569,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$10.98,0.29,2.713%,4878953634.00,Canada,,11651312,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$9.16,-0.44,-4.583%,278810120.00,United States,2024,3105072,Technology,Radio And Television Broadcasting And Communications Equipment
URG,Ur Energy Inc Common Shares (Canada),$1.37,-0.02,-1.439%,499814586.00,Canada,,7133366,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$2.77,0.04,1.465%,752727257.00,Canada,2017,2114519,Basic Materials,Metal Mining
USBC,USBC Inc. Common Stock,$0.9861,-0.0739,-6.972%,378893276.00,,,470530,Industrials,Industrial Machinery/Components
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$37.52,-0.42,-1.107%,0.00,United States,2004,305618,Finance,Investment Managers
UUU,Universal Safety Products Inc. Common Stock,$5.78,2.48,75.152%,13368487.00,United States,2003,64619728,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$11.36,-0.20,-1.73%,2620467012.00,Canada,,9422552,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VENU,Venu Holding Corporation Common Stock,$12.35,-0.35,-2.756%,497843703.00,United States,2024,125922,Consumer Discretionary,Services-Misc. Amusement & Recreation
VFL,abrdn National Municipal Income Fund Common Stock,$9.60,0.00,0.00%,0.00,United States,1993,38660,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$1.38,0.15,12.195%,172749904.00,United States,1986,2289604,Basic Materials,Precious Metals
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.31,0.02,0.241%,369014026.00,United States,1993,152991,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$0.6632,-0.0268,-3.884%,71357283.00,Singapore,2015,265574,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VNTG,Vantage Corp Class A Ordinary Shares,$5.80,0.21,3.757%,184077500.00,,2025,874102,,
VTAK,Catheter Precision Inc. Common Stock,$2.48,-0.02,-0.80%,3044855.00,,2018,41877,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$3.80,0.13,3.542%,1302624268.00,Canada,2024,6397439,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$1.48,0.07,4.965%,298438978.00,Canada,2011,641611,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.8013,0.0113,1.43%,69092960.00,United States,,1665194,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$4.93,0.04,0.818%,48200147.00,United States,,84988,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.7999,0.0339,4.426%,72145437.00,United States,,187389,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.6275,-0.0115,-1.80%,81773116.00,United States,,88211,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.73,-0.009,-1.218%,6506460.00,United States,2017,135162,Consumer Discretionary,Package Goods/Cosmetics
ZDGE,Zedge Inc. Class B Common Stock ,$3.03,-0.01,-0.329%,41304721.00,,2016,33695,Technology,Computer Software: Prepackaged Software
ZONE,CleanCore Solutions Inc. Class B Common Stock,$3.23,-3.63,-52.915%,36097983.00,,2024,5871280,Industrials,Industrial Machinery/Components
