Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CKX,CKX Lands Inc. Common Stock,$11.3082,-0.2118,-1.839%,23217193.00,United States,2003,1831,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$1.65,0.00,0.00%,5653570.00,,2021,255080,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Investment Fund Inc. Common Shares,$8.10,-0.03,-0.369%,0.00,United States,2003,1948233,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$26.39,0.81,3.167%,509189350.00,Canada,,207063,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$18.93,-0.27,-1.406%,167680180.00,United States,1996,20869,Industrials,Plastic Products
CNL,Collective Mining Ltd. Common Shares,$13.70,0.62,4.74%,1162500156.00,,2024,83966,,
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$39.0911,3.5711,10.054%,229053323.00,China,2016,45211,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$12.1101,-0.2849,-2.299%,24654505.00,United States,,3907,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$1.42,0.03,2.158%,4632043.00,China,,20422,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.81,-0.05,-0.636%,0.00,United States,2003,1093425,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$21.90,-0.13,-0.59%,277462291.00,United States,2021,107078,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$1.14,0.14,14.00%,106020666.00,,2022,8233689,Consumer Discretionary,Professional Services
CVM,Cel-Sci Corporation Common Stock,$12.16,1.73,16.587%,83687017.00,United States,1997,419033,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$9.75,0.00,0.00%,9419787.00,United States,1930,1128,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$2.49,-0.01,-0.40%,32446550.00,United States,2022,36211,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$6.24,-1.24,-16.578%,147201756.00,Canada,,1741301,Health Care,Biotechnology: Pharmaceutical Preparations
DC,Dakota Gold Corp. Common Stock,$4.33,0.16,3.837%,486448922.00,United States,2022,1230330,Basic Materials,Metal Mining
DDC,DDC Enterprise Limited Class A Ordinary Shares,$13.55,-0.37,-2.658%,54879519.00,,2023,69024,Consumer Staples,Packaged Foods
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.10,0.01,0.478%,0.00,United States,1998,1056094,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$119.00,-0.99,-0.825%,76809978.00,United States,1999,1394,Consumer Discretionary,Food Distributors
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$12.30,-0.3674,-2.90%,0.00,,2022,31177,Finance,Blank Checks
DNN,Denison Mines Corp Ordinary Shares (Canada),$2.28,-0.04,-1.724%,2044140557.00,Canada,,51865641,Basic Materials,Other Metals and Minerals
DSS,DSS Inc. Common Stock,$1.16,-0.07,-5.691%,10547321.00,United States,,80182,Consumer Discretionary,Containers/Packaging
DVS,Dolly Varden Silver Corporation Common Shares,$3.95,0.17,4.497%,344302362.00,,2025,998748,,
DXF,Eason Technology Limited American Depositary Shares (each representing sixty-thousand (60000) Ordinary Shares),$4.45,0.00,0.00%,1110115.00,,,11855,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$7.09,-0.02,-0.281%,0.00,United States,2003,166450,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$10.96,-0.08,-0.725%,0.00,United States,1986,64584,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$21.50,0.05,0.233%,,United States,,1902,,
EGG,Enigmatig Limited Class A Ordinary Shares,$5.69,0.04,0.708%,163587500.00,,2025,7263,Consumer Discretionary,Professional Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.76,-0.06,-0.611%,0.00,United States,2002,126347,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$7.53,0.06,0.803%,195518536.00,United States,,102783,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$17.475,-1.105,-5.947%,224598923.00,Israel,,1227,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$23.95,-0.78,-3.154%,199962765.00,United States,2011,102341,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$3.86,0.21,5.753%,420994876.00,Canada,,1397629,Basic Materials,Metal Mining
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.435,-0.015,-0.159%,0.00,United States,2002,38365,Finance,Finance/Investors Services
EONR,EON Resources Inc. Class A Common Stock,$0.345,-0.0017,-0.49%,12868968.00,,2022,706399,Energy,Oil & Gas Production
EP,Empire Petroleum Corporation Common Stock,$4.95,-0.10,-1.98%,167095145.00,United States,2022,12634,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.18,0.02,0.388%,177713575.00,United States,,107017,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$9.14,0.38,4.338%,6950050150.00,Canada,,18792687,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.54,0.01,0.105%,0.00,United States,2003,89478,Finance,Finance/Investors Services
